"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","M4A5Cf","ah5Ghc 2","W4Efsd 7","e4rVHe"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com.br/maps/place/Moraes+Franco+Advocacia/data=!4m7!3m6!1s0x964b20075b66a9:0xe135dc7298225e1!8m2!3d-22.5238195!4d-41.9410294!16s%2Fg%2F11fjy3vwh5!19sChIJqWZbByBLlgAR4SWCKcddEw4?authuser=0&hl=pt-BR&rclk=1","Moraes Franco Advocacia","4,9","(504)","Advogado","·","","·","R. Maier, 110 - Sala: 102","Aberto 24 horas","·","(22) 99763-7883","http://moraesfranco.adv.br/","","Website","","Rotas","Serviços no local","·","Agendamento on-line","",""
"https://www.google.com.br/maps/place/Valeriano+Advogados+-+%28Rio+das+Ostras%29/data=!4m7!3m6!1s0x97b5af11134c77:0x92f24f1e4128879b!8m2!3d-22.5156869!4d-41.9304604!16s%2Fg%2F11gy8hj1ly!19sChIJd0wTEa-1lwARm4coQR5P8pI?authuser=0&hl=pt-BR&rclk=1","Valeriano Advogados - (Rio das Ostras)","5,0","(41)","Escritório de advocacia","·","","·","R. Jorge Ulrick, 251","Aberto","·","(22) 99984-7873","https://www.valerianojuridico.com/","","Website","","Rotas","","","","⋅ Fecha às 18:00",""
"https://www.google.com.br/maps/place/Bastos+%26+Corr%C3%AAa+Advocacia+e+Consultoria+Jur%C3%ADdica/data=!4m7!3m6!1s0x97b4bac440ac9b:0x958419792f29dc6c!8m2!3d-22.5177971!4d-41.9416009!16s%2Fg%2F12hl79h8k!19sChIJm6xAxLq0lwARbNwpL3kZhJU?authuser=0&hl=pt-BR&rclk=1","Bastos & Corrêa Advocacia e Consultoria Jurídica","4,8","(49)","Advogado","·","","R. Bangu, 1468","·","Aberto 24 horas","","(22) 98117-6002","https://bastosecorrea.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink","","Website","","Rotas","Serviços no local","·","Agendamento on-line","",""
"https://www.google.com.br/maps/place/Bocks+Ramos+Advogados/data=!4m7!3m6!1s0x964b8d79c2cc5f:0xb3eab96a11230ab6!8m2!3d-22.5011865!4d-41.91311!16s%2Fg%2F11hywbpy7g!19sChIJX8zCeY1LlgARtgojEWq56rM?authuser=0&hl=pt-BR&rclk=1","Bocks Ramos Advogados","5,0","(39)","Escritório de advocacia","·","","·","R. Dinah Silveira de Queiroz","Aberto","·","(22) 99938-3896","http://www.bocksramos.adv.br/","","Website","","Rotas","","","","⋅ Fecha às 18:00",""
"https://www.google.com.br/maps/place/Alessandra+Almeida+Advocacia+e+Consultoria+Jur%C3%ADdica/data=!4m7!3m6!1s0x97b54afd5cee59:0x2d39266ee7202d95!8m2!3d-22.5150134!4d-41.9313905!16s%2Fg%2F11pv3_pjpq!19sChIJWe5c_Uq1lwARlS0g524mOS0?authuser=0&hl=pt-BR&rclk=1","Alessandra Almeida Advocacia e Consultoria Jurídica","5,0","(54)","Escritório de advocacia","·","","Av. Jane Maria Martins Figueira, 93 - sala 05","·","Aberto 24 horas","","(22) 99797-6506","https://drive.google.com/file/d/1xLAYBu53rHiTlpLPYjXtR8QrzgODOTFb/view","","Website","","Rotas","","","","",""
"https://www.google.com.br/maps/place/Barreto+%26+Ferreira+Advocacia/data=!4m7!3m6!1s0x97b52cadb7722f:0x5dc0046b0692cdc2!8m2!3d-22.4977676!4d-41.9208013!16s%2Fg%2F11wy7j8st7!19sChIJL3K3rSy1lwARws2SBmsEwF0?authuser=0&hl=pt-BR&rclk=1","Barreto & Ferreira Advocacia","5,0","(51)","Advogado trabalhista","·","","Av. Alcebiades Sabino dos Santos, 359 - Sala 109","Fecha em breve","⋅ 17:00 ⋅ Abre ter. às 09:00","·","(22) 99893-4033","","","Rotas","","","","","","",""
"https://www.google.com.br/maps/place/ANTONIETO+%26+AZEVEDO+ADVOGADOS+ASSOCIADOS/data=!4m7!3m6!1s0x97b5f05ab9b74b:0x93d3a51b42a63073!8m2!3d-22.5242923!4d-41.9373096!16s%2Fg%2F11w1d_7lnk!19sChIJS7e5WvC1lwARczCmQhul05M?authuser=0&hl=pt-BR&rclk=1","ANTONIETO & AZEVEDO ADVOGADOS ASSOCIADOS","5,0","(35)","Advogado","·","","R. Luiza Viana, 104","·","Aberto","","(22) 99777-2021","https://antonietoeazevedo.com.br/","","Website","","Rotas","","","","⋅ Fecha às 18:00",""
"https://www.google.com.br/maps/place/Provazzi+Advogados+-+%28Rio+das+Ostras%29/data=!4m7!3m6!1s0x964bf688660a41:0xdcd730562ffd6ffc!8m2!3d-22.5063824!4d-41.9280382!16s%2Fg%2F11q43_nb0n!19sChIJQQpmiPZLlgAR_G_9L1Yw19w?authuser=0&hl=pt-BR&rclk=1","Provazzi Advogados - (Rio das Ostras)","5,0","(19)","Escritório de advocacia","·","","R. Bom Jardim, 69","·","Aberto","","(22) 98147-2338","https://provazziadvocacia.escritorio-online.com/","","Website","","Rotas","","","","⋅ Fecha às 18:00",""
