"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","Jn12ke src","e4rVHe"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com.br/maps/place/Gabriela+Brand%C3%A3o+Advocacia/data=!4m7!3m6!1s0x975d580262425f:0x896d9a51c756a4ef!8m2!3d-22.8934496!4d-42.4679364!16s%2Fg%2F11qqn2dyq3!19sChIJX0JiAlhdlwAR76RWx1GabYk?authuser=0&hl=pt-BR&rclk=1","Gabriela Brandão Advocacia","5,0","(177)","Advogado","·","R. Alfredo Menezes, 55 - Sala 101","Aberto","⋅ Fecha às 17:00","·","(22) 99936-7904","https://www.brandaoesa.com/","","Website","","Rotas","Serviços no local","",""
"https://www.google.com.br/maps/place/DR.+Renan+Gondim/data=!4m7!3m6!1s0x975f0d03d05247:0x2cdd682e77422fec!8m2!3d-22.8896436!4d-42.4667593!16s%2Fg%2F11ldktl98b!19sChIJR1LQAw1flwAR7C9Cdy5o3Sw?authuser=0&hl=pt-BR&rclk=1","DR. Renan Gondim","5,0","(33)","Advogado","·","FLY SHOPPING - Rod. Amaral Peixoto, 51 - sala 25 térreo","Aberto","⋅ Fecha às 17:00","·","(22) 99875-9005","https://renangondim.com.br/","","Website","","Rotas","""Excelente advogado tá de parabéns, esse resolve.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com.br/maps/place/Marcia+Alves+Advocacia/data=!4m7!3m6!1s0x975deb9674f5f5:0x9402b83c04b86564!8m2!3d-22.895394!4d-42.4692773!16s%2Fg%2F11qpsj4qw6!19sChIJ9fV0lutdlwARZGW4BDy4ApQ?authuser=0&hl=pt-BR&rclk=1","Marcia Alves Advocacia","5,0","(84)","Escritório de advocacia","·","·","Aberto","⋅ Fecha às 17:00","R. Beatriz Amaral Pereira, 155 - Salas 106/107","(22) 99936-7004","https://www.instagram.com/marciaalvesadvocacia/","","Website","","Rotas","""Excelente","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com.br/maps/place/Holanda+e+Marinho+Advocacia/data=!4m7!3m6!1s0x975feadcc3b82d:0xe3f2466de274426d!8m2!3d-22.8942502!4d-42.4700751!16s%2Fg%2F11vbdy7hjv!19sChIJLbjD3OpflwARbUJ04m1G8uM?authuser=0&hl=pt-BR&rclk=1","Holanda e Marinho Advocacia","5,0","(35)","Advogado","·","Av. Saquarema, 5.397 - Sala 306","Aberto","⋅ Fecha às 17:00","·","(22) 99964-5184","https://holandaemarinhoadv.my.canva.site/holandaemarinhoadv","","Website","","Rotas","Agendamento on-line","",""
"https://www.google.com.br/maps/place/Evaldo+Tadeu+Melo+Sociedade+de+Advogados/data=!4m7!3m6!1s0x975d6afd5160bb:0xc1adbd49079bf9d!8m2!3d-22.894323!4d-42.4673365!16s%2Fg%2F11k_1pxh59!19sChIJu2BR_WpdlwARnb95kNTbGgw?authuser=0&hl=pt-BR&rclk=1","Evaldo Tadeu Melo Sociedade de Advogados","5,0","(14)","Advogado","·","R. Ernestina Bravo, 90","Aberto","⋅ Fecha às 18:00","·","(22) 2653-2973","http://evaldomeloadvocacia.com.br/","","Website","","Rotas","Serviços no local","",""
"https://www.google.com.br/maps/place/CAMARINHA+ADVOGADOS/data=!4m7!3m6!1s0x975d5a7fd5d909:0xd1bbe23d6e9b4a28!8m2!3d-22.8934496!4d-42.4679364!16s%2Fg%2F11rb__sdn_!19sChIJCdnVf1pdlwARKEqbbj3iu9E?authuser=0&hl=pt-BR&rclk=1","CAMARINHA ADVOGADOS","5,0","(1)","Advogado","·","R. Alfredo Menezes, 55 - Sala 101","Aberto 24 horas","","·","(22) 99953-0128","http://camarinhaadvogados.com.br/","","Website","","Rotas","""Ótimo Profissional""","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com.br/maps/place/Dr.+Gabriel+Abath+-+Advogado/data=!4m7!3m6!1s0x975d1c063b4d5b:0x2560fda7e12f8f3e!8m2!3d-22.8918848!4d-42.4725633!16s%2Fg%2F11h_7yff46!19sChIJW007BhxdlwARPo8v4af9YCU?authuser=0&hl=pt-BR&rclk=1","Dr. Gabriel Abath - Advogado","5,0","(16)","Advogado","·","R. Prof. Souza, 282","Aberto","⋅ Fecha às 17:00","·","(22) 99617-4224","","","Rotas","","","","",""
"https://www.google.com.br/maps/place/Advogado+em+Saquarema+-+Layla+Rangel+Correia/data=!4m7!3m6!1s0x976755e1a01e27:0x4a218ec6d8a1cb36!8m2!3d-22.891991!4d-42.4677445!16s%2Fg%2F11gf98yp7r!19sChIJJx6g4VVnlwARNsuh2MaOIUo?authuser=0&hl=pt-BR&rclk=1","Advogado em Saquarema - Layla Rangel Correia","5,0","(2)","Advogado","·","R. Prof. Francisco Fonseca, 187 - sala 103","Aberto","⋅ Fecha às 18:00","·","(22) 2161-1799","","","Rotas","","","","",""
